name,author,img_paths,bounding_boxes,text
Call The Midwife,Jennifer Worth,dataset\adjusted_dataset\Medical\0000040.jpg,"[[[127, 383], [477, 383], [477, 471], [127, 471]]]","[""Miduife""]"
The Dialectical Behavior Therapy Skills Workbook,Matthew McKay,dataset\adjusted_dataset\Medical\0000041.jpg,"[[[90, 135], [429, 135], [429, 186], [90, 186]]]","[""Behavior Therapy""]"
The Reality Slap,Russ Harris,dataset\adjusted_dataset\Medical\0000042.jpg,"[[[5, 118], [506, 118], [506, 262], [5, 262]]]","[""Reality""]"
"The Boy Who Was Raised as a Dog, 3rd Edition",Bruce D. Perry,dataset\adjusted_dataset\Medical\0000043.jpg,"[[[85, 251], [427, 251], [427, 293], [85, 293]]]","[""AS A DOG""]"
Strength Training Anatomy,Frederic Delavier,dataset\adjusted_dataset\Medical\0000044.jpg,"[[[31, 25], [483, 25], [483, 89], [31, 89]]]","[""Strength Training""]"
The Brain That Changes Itself,Norman Doidge,dataset\adjusted_dataset\Medical\0000045.jpg,"[[[39, 217], [473, 217], [473, 259], [39, 259]]]","[""THAT CHANGES""]"
Lost Ocean,Johanna Basford,dataset\adjusted_dataset\Medical\0000046.jpg,"[[[101, 278], [410, 278], [410, 359], [101, 359]]]","[""OCEAN""]"
Mating in Captivity,Esther Perel,dataset\adjusted_dataset\Medical\0000047.jpg,"[[[34, 228], [482, 228], [482, 276], [34, 276]]]","[""CAPTIVITY""]"
This is Going to Hurt,Adam Kay,dataset\adjusted_dataset\Medical\0000048.jpg,"[[[17, 45], [249, 45], [249, 111], [17, 111]]]","[""This""]"
You Are the Placebo,Joe Dispenza,dataset\adjusted_dataset\Medical\0000049.jpg,"[[[58, 24], [451, 24], [451, 73], [58, 73]]]","[""PLACEBO""]"
Radical Acceptance,Tara Brach,dataset\adjusted_dataset\Medical\0000050.jpg,"[[[59, 95], [450, 95], [450, 139], [59, 139]]]","[""ACCEPTANCE""]"
Awakenings,Oliver Sacks,dataset\adjusted_dataset\Medical\0000051.jpg,"[[[61, 343], [446, 343], [446, 395], [61, 395]]]","[""Awakenings""]"
Unnatural Causes,Dr Richard Shepherd,dataset\adjusted_dataset\Medical\0000052.jpg,"[[[26, 165], [493, 165], [493, 217], [26, 217]]]","[""UNNATURAL""]"
Oxford Handbook of Clinical Medicine,Ian B. Wilkinson,dataset\adjusted_dataset\Medical\0000053.jpg,"[[[36, 116], [264, 116], [264, 148], [36, 148]]]","[""CLINICAL""]"
"DBT Skills Training Manual, Second Edition",Marsha M. Linehan,dataset\adjusted_dataset\Medical\0000054.jpg,"[[[95, 132], [406, 132], [406, 216], [95, 216]]]","[""DBT Skills""]"
All Cats Have Asperger Syndrome,Kathy Hoopmann,dataset\adjusted_dataset\Medical\0000055.jpg,"[[[11, 181], [269, 181], [269, 223], [11, 223]]]","[""all cats have""]"
Becoming Supernatural,Joe Dispenza,dataset\adjusted_dataset\Medical\0000056.jpg,"[[[39, 61], [470, 61], [470, 97], [39, 97]]]","[""SUPERNATURAL""]"
Anatomy Trains,Thomas W. Myers,dataset\adjusted_dataset\Medical\0000057.jpg,"[[[44, 16], [476, 16], [476, 92], [44, 92]]]","[""ANATOMY""]"
Hallucinations,Oliver Sacks,dataset\adjusted_dataset\Medical\0000058.jpg,"[[[9, 349], [503, 349], [503, 387], [9, 387]]]","[""Hallucifalidna""]"
Loving What Is,Byron Katie,dataset\adjusted_dataset\Medical\0000059.jpg,"[[[17, 288], [344, 288], [344, 385], [17, 385]]]","[""Loving""]"
An Introductory Guide to Anatomy & Physiology,Louise Tucker,dataset\adjusted_dataset\Medical\0000060.jpg,"[[[32, 99], [372, 99], [372, 156], [32, 156]]]","[""&Physiology""]"
The Body Keeps the Score,Bessel van der Kolk,dataset\adjusted_dataset\Medical\0000061.jpg,"[[[326, 66], [496, 66], [496, 96], [326, 96]]]","[""KEEPS""]"
The Muscular System Anatomical Chart,Anatomical Chart Company,dataset\adjusted_dataset\Medical\0000062.jpg,"[[[62, 0], [434, 0], [434, 22], [62, 22]]]","[""TVE MugCuLat Gysth""]"
Rewire Your Anxious Brain,Catherine M. Pittman,dataset\adjusted_dataset\Medical\0000063.jpg,"[[[83, 243], [433, 243], [433, 309], [83, 309]]]","[""Anxious""]"
Shadows Of The Workhouse,Jennifer Worth,dataset\adjusted_dataset\Medical\0000064.jpg,"[[[19, 66], [492, 66], [492, 139], [19, 139]]]","[""the Workhouse""]"
Call The Midwife,Jennifer Worth,dataset\adjusted_dataset\Medical\0000065.jpg,"[[[11, 111], [496, 111], [496, 153], [11, 153]]]","[""CALL THE MIDWIFE""]"
The Emperor of All Maladies,Siddhartha Mukherjee,dataset\adjusted_dataset\Medical\0000066.jpg,"[[[27, 59], [479, 59], [479, 103], [27, 103]]]","[""Tbe EMPEROR &""]"
Complications,Atul Gawande,dataset\adjusted_dataset\Medical\0000067.jpg,"[[[51, 281], [469, 281], [469, 317], [51, 317]]]","[""COMPLICATIONS""]"
Brain Maker,David Perlmutter,dataset\adjusted_dataset\Medical\0000068.jpg,"[[[60, 178], [462, 178], [462, 254], [60, 254]]]","[""BRAIN""]"
The Gift of Therapy,Irvin Yalom,dataset\adjusted_dataset\Medical\0000069.jpg,"[[[208, 10], [481, 10], [481, 67], [208, 67]]]","[""Gift of""]"
Change Your Thinking,Dr. Sarah Edelman,dataset\adjusted_dataset\Medical\0000070.jpg,"[[[33, 245], [296, 245], [296, 308], [33, 308]]]","[""Chang e""]"
You Can Heal Your Life,Louise Hay,dataset\adjusted_dataset\Medical\0000071.jpg,"[[[89, 193], [491, 193], [491, 279], [89, 279]]]","[""Mvnv Life""]"
Gratitude,Oliver Sacks,dataset\adjusted_dataset\Medical\0000072.jpg,"[[[55, 65], [461, 65], [461, 133], [55, 133]]]","[""Gratitude""]"
"DBT (R) Skills Training Handouts and Worksheets, Second Edition",Marsha M. Linehan,dataset\adjusted_dataset\Medical\0000073.jpg,"[[[98, 238], [355, 238], [355, 295], [98, 295]]]","[""Handouts and""]"
Man's Search for Meaning,Viktor E. Frankl,dataset\adjusted_dataset\Medical\0000074.jpg,"[[[90, 76], [418, 76], [418, 124], [90, 124]]]","[""SEARCHI""]"
Don't Shoot the Dog!,Karen Pryor,dataset\adjusted_dataset\Medical\0000075.jpg,"[[[50, 168], [458, 168], [458, 224], [50, 224]]]","[""Thedog""]"
The Mindful Self-Compassion Workbook,Kristin Neff,dataset\adjusted_dataset\Medical\0000076.jpg,"[[[30, 104], [484, 104], [484, 160], [30, 160]]]","[""Self-Compassion""]"
Self Compassion,Kristin Neff,dataset\adjusted_dataset\Medical\0000077.jpg,"[[[13, 123], [501, 123], [501, 189], [13, 189]]]","[""Compassion""]"
Trail Guide to the Body,R.  Andrew Biel,dataset\adjusted_dataset\Medical\0000078.jpg,"[[[43, 18], [502, 18], [502, 94], [43, 94]]]","[""Trail Guide""]"
The Man Who Mistook His Wife for a Hat,Oliver Sacks,dataset\adjusted_dataset\Medical\0000079.jpg,[],[]
Hands Of Light,Barbara Ann Brennan,dataset\adjusted_dataset\Medical\0000080.jpg,"[[[48, 77], [468, 77], [468, 153], [48, 153]]]","[""OF LIGHT""]"
The Drama of the Gifted Child,Alice Miller,dataset\adjusted_dataset\Medical\0000081.jpg,"[[[69, 119], [439, 119], [439, 161], [69, 161]]]","[""THE DRAMA""]"
Taking Charge of Your Fertility,Toni Weschler,dataset\adjusted_dataset\Medical\0000082.jpg,"[[[55, 70], [456, 70], [456, 147], [55, 147]]]","[""Taking Charge""]"
When Breath Becomes Air,Paul Kalanithi,dataset\adjusted_dataset\Medical\0000083.jpg,"[[[33, 355], [481, 355], [481, 417], [33, 417]]]","[""BECOMES""]"
It Didn't Start with You,Mark Wolynn,dataset\adjusted_dataset\Medical\0000084.jpg,"[[[120, 38], [394, 38], [394, 90], [120, 90]]]","[""It Didnt""]"
Trauma and Recovery,Judith Herman,dataset\adjusted_dataset\Medical\0000085.jpg,"[[[177, 122], [460, 122], [460, 174], [177, 174]]]","[""Recovery""]"
Love's Executioner,Irvin D. Yalom,dataset\adjusted_dataset\Medical\0000086.jpg,"[[[58, 0], [477, 0], [477, 42], [58, 42]]]","[""Luves Execulioner""]"
The Complete Ketogenic Diet for Beginners,Amy Ramos,dataset\adjusted_dataset\Medical\0000087.jpg,"[[[178, 248], [474, 248], [474, 296], [178, 296]]]","[""beginners""]"
The Compassionate Mind,Paul Gilbert,dataset\adjusted_dataset\Medical\0000088.jpg,"[[[17, 233], [483, 233], [483, 295], [17, 295]]]","[""Compassionate""]"
I Had a Black Dog,Matthew Johnstone,dataset\adjusted_dataset\Medical\0000089.jpg,"[[[71, 64], [459, 64], [459, 109], [71, 109]]]","[""HADABLACK DuG""]"
The End of Alzheimer's,Dale E. Bredesen,dataset\adjusted_dataset\Medical\0000090.jpg,"[[[30, 118], [483, 118], [483, 185], [30, 185]]]","[""Alzheimer 5""]"
The Secret Language of Color Cards,Inna Segal,dataset\adjusted_dataset\Medical\0000091.jpg,"[[[44, 118], [417, 118], [417, 172], [44, 172]]]","[""LANGIJAGE""]"
The China Study: Revised and Expanded Edition,T. Colin Campbell,dataset\adjusted_dataset\Medical\0000092.jpg,"[[[79, 337], [435, 337], [435, 355], [79, 355]]]","[""AGVISDIND [labiDtdtiog""]"
Immortal Life of Henrietta Lacks,Rebecca Skloot,dataset\adjusted_dataset\Medical\0000093.jpg,"[[[189, 193], [424, 193], [424, 244], [189, 244]]]","[""iietla""]"
"Cognitive Behavior Therapy, Second Edition",Judith S. Beck,dataset\adjusted_dataset\Medical\0000094.jpg,"[[[66, 76], [450, 76], [450, 130], [66, 130]]]","[""COGNITIVE""]"
Smart but Scattered,Peg Dawson,dataset\adjusted_dataset\Medical\0000095.jpg,"[[[42, 212], [476, 212], [476, 340], [42, 340]]]","[""SCATTERED""]"
Better,Atul Gawande,dataset\adjusted_dataset\Medical\0000096.jpg,"[[[73, 256], [456, 256], [456, 320], [73, 320]]]","[""BETTER""]"
The Complete Low-Fodmap Diet,Sue Shepherd,dataset\adjusted_dataset\Medical\0000097.jpg,"[[[30, 135], [479, 135], [479, 227], [30, 227]]]","[""FODMAP""]"
Farewell To The East End,Jennifer Worth,dataset\adjusted_dataset\Medical\0000098.jpg,"[[[24, 0], [488, 0], [488, 65], [24, 65]]]","[""Farewvell t tke""]"
The Epigenetics Revolution,Nessa Carey,dataset\adjusted_dataset\Medical\0000099.jpg,"[[[19, 86], [496, 86], [496, 172], [19, 172]]]","[""EPIGENETICS""]"
Maps of Meaning,Jordan B. Peterson,dataset\adjusted_dataset\Medical\0000100.jpg,"[[[263, 441], [427, 441], [427, 481], [263, 481]]]","[""PMEASII""]"
A Mind of Your Own,Kelly Brogan,dataset\adjusted_dataset\Medical\0000101.jpg,"[[[79, 144], [437, 144], [437, 225], [79, 225]]]","[""of Your""]"
The Gene,Siddhartha Mukherjee,dataset\adjusted_dataset\Medical\0000102.jpg,"[[[182, 94], [494, 94], [494, 170], [182, 170]]]","[""GENE""]"
"Many Lives, Many Masters",Brian L. Weiss,dataset\adjusted_dataset\Medical\0000103.jpg,"[[[35, 141], [479, 141], [479, 230], [35, 230]]]","[""MaNK MASTERS""]"
Musicophilia,Oliver Sacks,dataset\adjusted_dataset\Medical\0000104.jpg,"[[[24, 348], [484, 348], [484, 396], [24, 396]]]","[""Musicophilia""]"
The How Not To Die Cookbook,Michael Greger,dataset\adjusted_dataset\Medical\0000105.jpg,"[[[124, 375], [385, 375], [385, 407], [124, 407]]]","[""GookKook""]"
"Breaking the vicious cycle, Intestinal health through diet",Elaine Gottscha,dataset\adjusted_dataset\Medical\0000106.jpg,"[[[94, 112], [486, 112], [486, 164], [94, 164]]]","[""EVCIOWS CYCLE""]"
Highly Sensitive Child,Elaine N. Aron,dataset\adjusted_dataset\Medical\0000107.jpg,"[[[135, 346], [498, 346], [498, 397], [135, 397]]]","[""sensitive""]"
The 4 Pillar Plan,Dr. Rangan Chatterjee,dataset\adjusted_dataset\Medical\0000108.jpg,"[[[351, 61], [481, 61], [481, 105], [351, 105]]]","[""THE""]"
Into the Magic Shop,Dr. James R. Doty,dataset\adjusted_dataset\Medical\0000109.jpg,"[[[116, 130], [394, 130], [394, 180], [116, 180]]]","[""MAGIC""]"
Schema Therapy,Jeffrey E. Young,dataset\adjusted_dataset\Medical\0000110.jpg,"[[[0, 95], [487, 95], [487, 183], [0, 183]]]","[""SCH IEMA""]"
The Body Remembers,Babette Rothschild,dataset\adjusted_dataset\Medical\0000111.jpg,"[[[25, 0], [508, 0], [508, 170], [25, 170]]]","[""Bodmbers""]"
The Undiscovered Self,C G Jung,dataset\adjusted_dataset\Medical\0000112.jpg,"[[[106, 382], [384, 382], [384, 406], [106, 406]]]","[""Wnoiscoven @""]"
Desk Reference to the Diagnostic Criteria from DSM-5,American Psychiatric Association,dataset\adjusted_dataset\Medical\0000113.jpg,"[[[62, 118], [452, 118], [452, 148], [62, 148]]]","[""DIAGNOSTIC CRITERIA""]"
When My Worries Get Too Big!,Kari Dunn Buron,dataset\adjusted_dataset\Medical\0000114.jpg,"[[[34, 4], [479, 4], [479, 60], [34, 60]]]","[""When Mv Worrles""]"
"Mind Over Mood, Second Edition",Dennis Greenberger,dataset\adjusted_dataset\Medical\0000115.jpg,"[[[180, 314], [324, 314], [324, 340], [180, 340]]]","[""sEcond""]"
ACT Made Simple,Russ Harris,dataset\adjusted_dataset\Medical\0000116.jpg,"[[[80, 158], [435, 158], [435, 234], [80, 234]]]","[""made simple""]"
Dibs in Search of Self,Virginia M. Axline,dataset\adjusted_dataset\Medical\0000117.jpg,"[[[39, 83], [465, 83], [465, 143], [39, 143]]]","[""IN SEARCH""]"
We Should All Be Feminists,Chimamanda Ngozi Adichie,dataset\adjusted_dataset\Medical\0000118.jpg,"[[[70, 408], [444, 408], [444, 484], [70, 484]]]","[""FEMINISTS""]"
The Heal Your Gut Cookbook,Hillary Boynton,dataset\adjusted_dataset\Medical\0000119.jpg,"[[[78, 68], [486, 68], [486, 92], [78, 92]]]","[""HEALtOuRGTeoot""]"
On Becoming a Person,Carl Rogers,dataset\adjusted_dataset\Medical\0000120.jpg,"[[[217, 344], [476, 344], [476, 387], [217, 387]]]","[""J PERSON""]"
"Ayurveda, the Science of Self-healing: A Practical Guide",Vasant Lad,dataset\adjusted_dataset\Medical\0000121.jpg,"[[[40, 81], [494, 81], [494, 114], [40, 114]]]","[""Te Secre Gech-Heallng""]"
The Mindful Path to Self-Compassion,Christopher Germer,dataset\adjusted_dataset\Medical\0000122.jpg,"[[[33, 196], [429, 196], [429, 274], [33, 274]]]","[""compassion""]"
Mindsight,Daniel J Siegel,dataset\adjusted_dataset\Medical\0000123.jpg,"[[[0, 166], [512, 166], [512, 276], [0, 276]]]","[""mindsight""]"
With the Old Breed,E B Sledge,dataset\adjusted_dataset\Medical\0000124.jpg,"[[[53, 81], [459, 81], [459, 145], [53, 145]]]","[""oldbreed""]"
Get Out of Your Mind and into Your Life,Steven C. Hayes,dataset\adjusted_dataset\Medical\0000125.jpg,"[[[32, 160], [481, 160], [481, 259], [32, 259]]]","[""Your Mind""]"
Sweet Poison,David Gillespie,dataset\adjusted_dataset\Medical\0000126.jpg,"[[[28, 307], [487, 307], [487, 403], [28, 403]]]","[""POISOM""]"
When the Body Says No,Gabor Mate,dataset\adjusted_dataset\Medical\0000127.jpg,"[[[120, 76], [398, 76], [398, 124], [120, 124]]]","[""When the""]"
Listening to the Animals: Becoming The Supervet,Noel Fitzpatrick,dataset\adjusted_dataset\Medical\0000128.jpg,"[[[24, 112], [485, 112], [485, 152], [24, 152]]]","[""Fecoming The Supervet""]"
Dmt : the Spririt Molecule,Rick Strassman M D,dataset\adjusted_dataset\Medical\0000129.jpg,"[[[69, 96], [467, 96], [467, 162], [69, 162]]]","[""Spirit Molecule""]"
Art Therapy Sourcebook,Cathy Malchiodi,dataset\adjusted_dataset\Medical\0000130.jpg,"[[[13, 247], [503, 247], [503, 307], [13, 307]]]","[""SOURCEBO K""]"
The Skeletal System Anatomical Chart,Anatomical Chart Company,dataset\adjusted_dataset\Medical\0000131.jpg,"[[[68, 0], [448, 0], [448, 22], [68, 22]]]","[""THE SEELEI SISTEm""]"
Intuitive Eating,Evelyn Tribole,dataset\adjusted_dataset\Medical\0000132.jpg,"[[[26, 118], [488, 118], [488, 190], [26, 190]]]","[""INTUITIVE""]"
Spiritual Midwifery,Ina May Gaskin,dataset\adjusted_dataset\Medical\0000133.jpg,"[[[142, 171], [373, 171], [373, 225], [142, 225]]]","[""(idwifera""]"
Marshall & Ruedy's On Call: Principles & Protocols,Anthony F. T. Brown,dataset\adjusted_dataset\Medical\0000134.jpg,"[[[118, 282], [477, 282], [477, 318], [118, 318]]]","[""Ptincipifs & Polorols""]"
Anatomy of Movement,Blandine Calais-Germain,dataset\adjusted_dataset\Medical\0000135.jpg,"[[[118, 108], [410, 108], [410, 156], [118, 156]]]","[""Movement""]"
Civilization and Its Discontents,Sigmund Freud,dataset\adjusted_dataset\Medical\0000136.jpg,[],[]
Get into Medical School - 1250 UKCAT Practice Questions. Includes Full Mock Exam,Olivier Picard,dataset\adjusted_dataset\Medical\0000137.jpg,"[[[50, 317], [367, 317], [367, 346], [50, 346]]]","[""Includer Full Mock""]"
The Gift Of Therapy,Irvin D. Yalom,dataset\adjusted_dataset\Medical\0000138.jpg,"[[[184, 232], [503, 232], [503, 318], [184, 318]]]","[""Gift of""]"
Mary Sheridan's From Birth to Five Years: Children's Developmental Progress,Ajay Sharma,dataset\adjusted_dataset\Medical\0000139.jpg,[],[]
Brain Rules (Updated and Expanded),John Medina,dataset\adjusted_dataset\Medical\0000140.jpg,"[[[113, 39], [405, 39], [405, 55], [113, 55]]]","[""UPnITFC  NITEXPANDAn""]"
Food Rules,Michael Pollan,dataset\adjusted_dataset\Medical\0000141.jpg,"[[[185, 151], [415, 151], [415, 199], [185, 199]]]","[""RULES""]"
Nutrient Power,William J. Walsh,dataset\adjusted_dataset\Medical\0000142.jpg,"[[[40, 94], [466, 94], [466, 142], [40, 142]]]","[""NUTRIENT POWER""]"
Wheat Belly,William Davis,dataset\adjusted_dataset\Medical\0000143.jpg,"[[[51, 290], [474, 290], [474, 367], [51, 367]]]","[""WHEAT""]"
"Motivational Interviewing, Third Edition",William R. Miller,dataset\adjusted_dataset\Medical\0000144.jpg,"[[[76, 130], [438, 130], [438, 208], [76, 208]]]","[""INTEAVIEWINE""]"
An Anthropologist on Mars,Oliver Sacks,dataset\adjusted_dataset\Medical\0000145.jpg,"[[[51, 381], [457, 381], [457, 419], [51, 419]]]","[""Alchropclogiet""]"
Girls Only! All About Periods and Growing-Up Stuff,Victoria Parker,dataset\adjusted_dataset\Medical\0000146.jpg,"[[[100, 466], [409, 466], [409, 507], [100, 507]]]","[""TettroWu""]"
How to Eat Better,James Wong,dataset\adjusted_dataset\Medical\0000147.jpg,"[[[227, 25], [483, 25], [483, 61], [227, 61]]]","[""EAT BETTER""]"
Hashimoto's Protocol,Izabella Wentz,dataset\adjusted_dataset\Medical\0000148.jpg,"[[[24, 18], [489, 18], [489, 99], [24, 99]]]","[""HASHIMOTO S""]"
Talley and O'Connor's Clinical Examination - 2-Volume Set,Professor Nicholas J. Talley,dataset\adjusted_dataset\Medical\0000149.jpg,"[[[12, 339], [299, 339], [299, 415], [12, 415]]]","[""sligicqnation""]"
The Wahls Protocol,Terry Wahls,dataset\adjusted_dataset\Medical\0000150.jpg,"[[[23, 133], [490, 133], [490, 233], [23, 233]]]","[""Protocol""]"
The How Not To Die Cookbook,Michael Greger,dataset\adjusted_dataset\Medical\0000151.jpg,"[[[155, 369], [451, 369], [451, 407], [155, 407]]]","[""COORROOK""]"
Pilates Anatomy,Rael Isacowitz,dataset\adjusted_dataset\Medical\0000152.jpg,"[[[26, 30], [342, 30], [342, 86], [26, 86]]]","[""PILATES""]"
Quiet the Mind,Matthew Johnstone,dataset\adjusted_dataset\Medical\0000153.jpg,"[[[235, 39], [339, 39], [339, 83], [235, 83]]]","[""HIND""]"
"Your Body, Your Yoga",Bernie Clark,dataset\adjusted_dataset\Medical\0000154.jpg,"[[[65, 198], [442, 198], [442, 300], [65, 300]]]","[""YOU R""]"
"Medical Interviews - a Comprehensive Guide to Ct, St and Registrar Interview Skills",Olivier Picard,dataset\adjusted_dataset\Medical\0000155.jpg,"[[[38, 99], [474, 99], [474, 128], [38, 128]]]","[""CI.ST & Roglstrar Intarutbvj Skils""]"
Radical Remission,Kelly A. Turner,dataset\adjusted_dataset\Medical\0000156.jpg,"[[[30, 196], [486, 196], [486, 252], [30, 252]]]","[""REMISSION""]"
The Immortal Life of Henrietta Lacks,Rebecca Skloot,dataset\adjusted_dataset\Medical\0000157.jpg,"[[[97, 195], [419, 195], [419, 255], [97, 255]]]","[""of Henrietta""]"
